id,date,type,city,state,ideology,group,description,image
4791,10/19/2018,White Supremacist Propaganda,Riverside,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment fliers.",
4795,10/18/2018,Anti-Semitic Incident:Harassment;White Supremacist Propaganda,Baltimore,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment fliers that read: ""Help us win back your rights that have been given to others. The Jew’s are taking over and the n*****s are right behind them.""",
4851,10/7/2018,White Supremacist Propaganda,Baltimore,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers that were critical of immigrants and people of Mexican descent.",
6498,10/2018,Anti-Semitic Incident:Harassment,Baltimore,MD,,,The KKK distributed anti-Semitic flyers to homes in Baltimore.,
6519,10/2018,Anti-Semitic Incident:Harassment,Baltimore,MD,,,"A Jewish man received an anti-Semitic postcard in the mail promoting the Boycott, Divestment, Sanctions movement against Israel. The postcard depicted Jews controlling the United States when it comes to Israel.",
6536,10/2018,Anti-Semitic Incident:Harassment,Baltimore,MD,,,Confidential,
6558,10/2018,Anti-Semitic Incident:Harassment,College Park,MD,,,"During an off-campus party at University of Maryland, College Park, where students were drawing on one another's shirts, someone drew a swastika on people's t-shirts.",
6660,10/2018,Anti-Semitic Incident:Vandalism,College Park,MD,,,"A swastika and the numbers ""1488"" were written in a bathroom on the University of Maryland, College Park campus.",
6671,10/2018,Anti-Semitic Incident:Vandalism,Potomac,MD,,,A swastika was drawn on a classroom desk at Winston Churchill High School.,
4899,9/21/2018,White Supremacist Propaganda,Baltimore,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Keep America American,"" ""America revolution is tradition,"" ""Democracy the freedom to vote but not get what you vote for,"" and ""Fake news don't buy it.""",
4968,9/3/2018,White Supremacist Propaganda,White Marsh,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""Keep America American,"" ""Welcome to occupied America,"" and ""America First.""",
6436,09/2018,Anti-Semitic Incident:Harassment,College Park,MD,,,"University of Maryland, College Park students discovered swastikas had been drawn on a dorm whiteboard.",
6437,09/2018,Anti-Semitic Incident:Harassment,College Park,MD,,,"During an interactive live-stream class presentation at University of Maryland, College Park, someone messaged in ""Jews did 911.""",
6473,09/2018,Anti-Semitic Incident:Vandalism,Olney,MD,,,"The banner outside a synagogue was vandalized with a message that read: ""Justice for Palestinian people NOW!! Israel is a fascist apartheid state! ... What will your legacy be? ... Genocide?""",
5005,8/26/2018,White Supremacist Propaganda,Baltimore,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, posted flyers and stickers that read: ""America first,"" ""American revolution is tradition,"" and ""Keep America American.""",
5061,8/10/2018,Anti-Semitic Incident:Harassment;White Supremacist Propaganda,Hagerstown,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed a flyer titled: ""More Jewish lies from hollyweird!!!""",
5095,7/30/2018,White Supremacist Propaganda,Clear Spring,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed recruitment flyers.",
201,7/23/2018,White Supremacist Propaganda,Beallsville,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, distributed flyers titled ""God commands racial segregation....""",
1298,7/4/2018,Anti-Semitic Incident:Harassment;White Supremacist Propaganda,Laurel,MD,Right Wing (White Supremacist),,"An unknown person distributed anti-Semitic flyers attributed to Peter J. Cojanis. The flyers say that people ""should not be associated with them [Jews] within 200 yards.""",
6217,07/2018,Anti-Semitic Incident:Harassment,Chevy Chase,MD,,,Anti-Semitic flyers from the conspiracy theorist Peter Cojanis were discovered outside homes in a residential neighborhood.,
6218,07/2018,Anti-Semitic Incident:Harassment,Maryland City,MD,,,An unknown person distributed anti-Semitic flyers attributed to Peter Cojanis. ,
2472,6/18/2018,White Supremacist Propaganda,Thurmont,MD,Right Wing (White Supremacist),Patriots of Appalachia,"Patriots of Appalachia, an alt right group, posted flyers that read: ""A brighter tomorrow starts with a stronger smarter and better you.""",
936,06/01/2018,Anti-Semitic Incident:Harassment;White Supremacist Propaganda,Frederick,MD,Right Wing (White Supremacist),Loyal White Knights,"The Loyal White Knights, a Klan group, distributed anti-Semitic flyers.",
6123,06/2018,Anti-Semitic Incident:Harassment,Silver Spring,MD,,,Confidential,
6139,06/2018,Anti-Semitic Incident:Harassment,Lutherville,MD,,,"Maryland House Delegate Shelly Hettleman was campaigning when a man stopped his car near her and shouted at her expletives and ""Heil Hitler! You don't represent us!""",
